PERIODO;ID PROVINCIA;PROVINCIA;ID LOCALIDAD;LOCALIDAD;ORGANIZACION ADMINISTRADORA;CUIT;LINEA PROGRAMATICA;CREDITOS
Anual 2018;90;TUCUMAN;90084010000;SAN MIGUEL DE TUCUMAN;FEDERACIÓN DE ASOCIACIONES MUTUALISTAS DE TUCUMÁN;30708364696;MICROCREDITO;183
Anual 2018;18;CORRIENTES;18126010000;SALADAS;ASOCIACION DE PRODUCTORES AGRUPADOS DE SALADAS;30711108897;MICROCREDITO;158
Anual 2018;90;TUCUMAN;90084010000;SAN MIGUEL DE TUCUMAN;ASOCIACIÓN CIVIL SINDICATO DE AMAS DE  CASA DE TUCUMÁN SACRA;30685642561;MICROCREDITO;304
Anual 2018;54;MISIONES;s/d;COLONIA PARAISO;COOPERATIVA AGROPECUARIA Y FORESTAL PARAISO LTDA.;30687848493;MICROCREDITO;115
Anual 2018;6;BUENOS AIRES;6357110003;MAR DEL PLATA;FUNDACION ACORDAR ;30715582321;MICROCREDITO;19
Anual 2018;34;FORMOSA;34014020000;FORMOSA;ASOCIACION CIVIL ÑEMOIRU;30715583166;MICROCREDITO;90
Anual 2018;74;SAN LUIS;74056150000;SAN LUIS;FUNDACION NUEVA ESPERANZA;30715368230;MICROCREDITO;101
Anual 2018;6;BUENOS AIRES;6595070000;OLAVARRIA;CENTRO IDEB OLAVARRIA;30698647449;MICROCREDITO;37
Anual 2018;2;CABA;2000010000;CABA;RED ARGENTINA DE INSTITUCIONES DE MICROCREDITO ASOCIACION CIVIL RADIM;30710701578;MICROCREDITO;120
Anual 2018;58;NEUQUEN;58049010000;JUNIN DE LOS ANDES;CAMARA DE COMERCIO INDUSTRIA TURISMO Y AFINES DE JUNIN DE LOS ANDES;30653913725;MICROCREDITO;32
Anual 2018;46;LA RIOJA ;46042010002;CHILECITO;LA RIOJANA COOPERATIVA VITIVINIFRUTICOLA DE LA RIOJA LIMITADA;30632951716;MICROCREDITO;102
Anual 2018;66;SALTA;66028050003;SALTA;CENTRO MONSEÑOR ENRIQUE ANGELELLI;30710134525;MICROCREDITO;731
Anual 2018;54;MISIONES;54028030000;POSADAS;"ASOCIACION CIVIL "" RED DE AMIGOS SOLIDARIOS """;30708463708;MICROCREDITO;111
Anual 2018;14;CORDOBA;14028200000;VILLA DE SOTO;EL ALGARROBAL ASOCIACIÓN CIVIL PARA LA PROMOCIÓN DEL DESARROLLO INTEGRAL;30711738947;MICROCREDITO;78
Anual 2018;6;BUENOS AIRES;s/d;ALMTE. BROWN ;MEJOR ES DAR;30711297207;MICROCREDITO;521
Anual 2018;6;BUENOS AIRES;6588100000;9 DE JULIO;COOPERATIVA ELÉCTRICA Y DE SERVICIOS MARIANO MORENO;30545724819;MICROCREDITO;28
Anual 2018;2;CABA;2000010000;CABA;COOPERATIVA DE TRABAJO UNION DE TRABAJADORES DE LA TIERRA LTDA;30714252093;MICROCREDITO;97
Anual 2018;66;SALTA;66028050003;SALTA;ASOCIACION ARTESANOS DE LA ESTACIÓN;30709352845;MICROCREDITO;319
Anual 2018;34;FORMOSA;34049010000;CLORINDA;CENTRO DE MUJERES CLORINDENSES;30681838755;MICROCREDITO;185
Anual 2018;6;BUENOS AIRES;6778020002;SAN VICENTE;FUNDACION PROYECTO EMPRENDER (PROEM);30708547197;MICROCREDITO;417
Anual 2018;6;BUENOS AIRES;6760010004;SAN MIGUEL  ;ASOCIACION CIVIL UNIENDO;33711258189;MICROCREDITO;43
Anual 2018;6;BUENOS AIRES;6490010001;BANFIELD;RAICES LOMENSES;30714364762;MICROCREDITO;67
Anual 2018;50;MENDOZA;s/d;MENDOZA;ASOCIACIÓN DE COOPERATIVAS VITIVINICOLAS ARGENTINAS (ACOVI) ;30659799703;MICROCREDITO;16
Anual 2018;6;BUENOS AIRES;6028010008;MALVINAS ARGENTINAS;FUNDACION ALTERNATIVA 3 ESTRATEGIAS DE DESARROLLO COMUNITARIO;30708990414;MICROCREDITO/MESOCREDITO;233
Anual 2018;82;SANTA FE;82084270000;ROSARIO;FEDERACIÓN DE ENTIDADES MUTUALISTAS DE SANTA FÉ;30628254814;MICROCREDITO;117
Anual 2018;66;SALTA;66028050003;SALTA;ASOC. JUVENIL COMUNITARIA;30708610298;MICROCREDITO;89
Anual 2018;82;SANTA FE;82084270000;ROSARIO;FEDERACION ARGENTINA DE COOPERATIVAS APICOLAS Y AGROPECUARIAS LTDA.- FACAAL - SANTA FE;30714026158;MICROCREDITO;19
Anual 2018;66;SALTA;66084020000;EL TALA;COOPERATIVA AGROPECUARIA LOLA MORA LIMITADA;30710914792;MICROCREDITO;94
Anual 2018;6;BUENOS AIRES;6658010006;QUILMES;COOP. DE CONSUMO Y VIVIENDA DE QUILMES LTDA.;30611386059;MICROCREDITO;118
Anual 2018;6;BUENOS AIRES;6441030015;LA PLATA;FEDERACION DE COOPERATIVAS DE TRABAJO DE LA REPUBLICA ARGENTINA LIMITADA (FECOOTRA) ;30691371472;MESOCREDITO;90
Anual 2018;10;CATAMARCA;10049030000;SAN FERNANDO DEL VALLE DE CATAMARCA;AGENCIA PARA EL DESARROLLO ECONOMICO DE CATAMARCA;30707715606;MICROCREDITO;0
Anual 2018;6;BUENOS AIRES;6427010004;LA MATANZA;COOPERATIVA LA JUANITA;30708880171;MICROCREDITO;246
Anual 2018;38;JUJUY;38021060000;S.S.JUJUY;COOPERADORA DEL CENTRO DE SALUD - BARRIO CORONEL ARIAS;30687414027;MICROCREDITO;199
Anual 2018;6;BUENOS AIRES;s/d;LANUS;CENTRO DE AYUDA INTEGRAL A LA NIÑEZ Y SU FAMILIA SEMILLITAS;30711985944;MICROCREDITO;29
Anual 2018;22;CHACO;22140060000;RESISTENCIA;CENTRO DE CAPACITACIÓN Y PERFECCIONAMIENTO MANA;30709811734;MICROCREDITO;61
Anual 2018;94;TIERRA DEL FUEGO;94007020000;TOLHUIN;ASOCIACIÓN MUTUAL PREVISIONAL FUEGUINA;30675759231;MICROCREDITO;10
Anual 2018;62;RIO NEGRO;62021060001;BARILOCHE;NORTESUR ASOCIACION CIVIL;30684121738;MICROCREDITO;82
Anual 2018;6;BUENOS AIRES;6035010002;AVELLANEDA;EMANUEL ASOCIACION CIVIL CRISTIANA EVANGELICA;33707911919;MICROCREDITO;69
Anual 2018;2;CABA;2000010000;CABA;INSTITUTO MOVILIZADOR DE FONDOS COOPERATIVOS COOP LTDA;30537574581;MESOCREDITO;28
Anual 2018;2;CABA;2000010000;CABA;ASOCIACIÓN CIVIL CONTRIBUIR AL DESARROLLO LOCAL;30710531206;MICROCREDITO;24
Anual 2018;86;SANTIAGO DEL ESTERO;s/d;CHILCA LA LOMA;COOPERATIVA AGROPECUARIA, APÍCOLA, AVÍCOLA, GRANJERA Y FORESTAL EL REMANSO LIMITADA.;30709776424;MICROCREDITO;88
Anual 2018;62;RIO NEGRO;62014080000;LUIS BELTRAN;ASOCIACIÓN COOPERADORA DE LA CHACRA EXPERIMENTAL LUIS BELTRÁN;30689622891;MICROCREDITO;7
Anual 2018;82;SANTA FE;82049180000;RECONQUISTA;FUNDACION NUEVOS SURCOS;30708572663;MICROCREDITO;517
Anual 2018;6;BUENOS AIRES;6756010005;SAN ISIDRO;NUESTRAS HUELLAS;33710072499;MICROCREDITO;47
Anual 2018;2;CABA;2000010000;CABA;FUNDACIÓN LA BASE FONDO DE MICROCRÉDITOS SOLIDARIOS;30710590628;MESOCREDITO;9
Anual 2018;6;BUENOS AIRES;6560010002;FRANCISCO ALVAREZ;LA MESA ASOCIACION CIVIL;30710821956;MICROCREDITO;45
Anual 2018;50;MENDOZA;50105210002;SAN RAFAEL;ASOCIACION PROGRAMA NEHUEN SAN RAFAEL;33714331499;MICROCREDITO;69
Anual 2018;18;CORRIENTES;18133020000;PASO DE LA PATRIA;CENTRO INTEGRAL DE DESARROLLO COMUNITARIO CIDECO;30706135150;MICROCREDITO;170
Anual 2018;6;BUENOS AIRES;6560010004;MORENO;FED. MUTUAL DEL OESTE DE LA PCIA DE BS AS (FEMOBA);33714190739;MESOCREDITO;72
Anual 2018;6;BUENOS AIRES;6602030000;CARMEN DE PATAGONES;ASOCIACIÓN PARA EL DESARROLLO DE PATAGONES;30712235965;MICROCREDITO;26
Anual 2018;38;JUJUY;38021060000;ALTO COMEDERO - SS DE JUJUY;FUNDACIÓN FORJANDO EL  FUTURO;30715666924;MICROCREDITO;920
Anual 2018;54;MISIONES;54028030000;POSADAS;ASOCIACION CIVIL MBA APO MBARE TE - TRABAJO FUERTE;30708016019;MICROCREDITO;346
Anual 2018;74;SAN LUIS ;74028030000;NASCHEL;FUNDACION DESAFIOS;30708847549 ;MICROCREDITO;356
Anual 2018;82;SANTA FE;82084270000;ROSARIO;ASOCIACION MUTUAL UNIVERSAL MULTISERVICIOS;30707996044;MICROCREDITO;38
Anual 2018;26;CHUBUT;26077040000;TRELEW;FEDER DE ASOC MUTUALISTAS DEL CHUBUT - FAMUCH;30709673390;MICROCREDITO;79
Anual 2018;2;CABA;2000010000;CABA;FUNDACION AVINA ARGENTINA;30701770133;MESOCREDITO;14
Anual 2018;2;CABA;2000010000;CABA;ASOCIACION CIVIL AVANZAR POR EL DESARROLLO HUMANO;30707803408;MICROCREDITO;472
Anual 2018;2;CABA;2000010000;CABA;ASOCIACION CIVIL ENLACE SOCIAL;30708092408;MICROCREDITO;129
Anual 2018;2;CABA;2000010000;CABA ;CENTRO DE COMERCIALIZACION DE PRODUCTORES DE LA AGRICULTURA FAMILIAR COOPERATIVA DE PROVISION DE SERVICIOS LIMITADA” (CECOPAF);30714324655;MICROCREDITO;48
Anual 2018;82;SANTA FE;82042290000;VENADO TUERTO;FUNDACION SYNERGYS;30714470473;MICROCREDITO;4
Anual 2018;66;SALTA;66028050003;SALTA;FUNDACION HOGARES EN RIESGO SOCIAL;30709773719;MICROCREDITO;64
Anual 2018;86;SANTIAGO DEL ESTERO;86035090000;LA BANDA;COOPERATIVA DE TRABAJO COOPSOL LTDA;30651151747;MICROCREDITO;106
Anual 2018;6;BUENOS AIRES;6756010005;SAN ISIDRO;ASOCIACION CIVIL EMPLEO JOVEN;30709276227;MICROCREDITO;47
