PERIODO;ID PROVINCIA;PROVINCIA;ID MUNICIPIO;MUNICIPIO;TOTAL DE TRAMITES
2018-01-01;06;BUENOS AIRES;060270;EZEIZA;6558
2018-01-01;06;BUENOS AIRES;060357;GENERAL PUEYRREDON;3161
2018-01-01;06;BUENOS AIRES;060371;GENERAL SAN MARTIN;2167
2018-01-01;06;BUENOS AIRES;060441;LA PLATA;1447
2018-01-01;06;BUENOS AIRES;060658;QUILMES;3880
2018-01-01;06;BUENOS AIRES;060805;TIGRE;2535
2018-01-01;02;CABA;S/D;CABA;6984
2018-02-01;06;BUENOS AIRES;060028;ALMIRANTE BROWN;6000
2018-02-01;06;BUENOS AIRES;060035;AVELLANEDA;2241
2018-02-01;06;BUENOS AIRES;060091;BERAZATEGUI;5393
2018-02-01;06;BUENOS AIRES;060270;EZEIZA;2264
2018-02-01;06;BUENOS AIRES;060274;FLORENCIO VARELA;1080
2018-02-01;06;BUENOS AIRES;060357;GENERAL PUEYRREDON;4124
2018-02-01;06;BUENOS AIRES;060371;GENERAL SAN MARTIN;2054
2018-02-01;06;BUENOS AIRES;060410;ITUZAINGO;730
2018-02-01;06;BUENOS AIRES;060412;JOSE C PAZ;8505
2018-02-01;06;BUENOS AIRES;060427;LA MATANZA;11355
2018-02-01;06;BUENOS AIRES;060441;LA PLATA;2321
2018-02-01;06;BUENOS AIRES;060490;LOMAS DE ZAMORA;564
2018-02-01;06;BUENOS AIRES;060560;MORENO;7611
2018-02-01;06;BUENOS AIRES;060638;PILAR;2664
2018-02-01;06;BUENOS AIRES;060658;QUILMES;8756
2018-02-01;06;BUENOS AIRES;060760;SAN MIGUEL;5011
2018-02-01;06;BUENOS AIRES;060763;SAN NICOLAS;1100
2018-02-01;06;BUENOS AIRES;060778;SAN VICENTE;2088
2018-02-01;06;BUENOS AIRES;060805;TIGRE;2002
2018-02-01;02;CABA;S/D;CABA;6036
2018-02-01;38;JUJUY;380035;SAN SALVADOR DE JUJUY;3454
2018-02-01;54;MISIONES;540119;POSADAS;3553
2018-02-01;58;NEUQUEN;580042;CENTENARIO;1288
2018-02-01;58;NEUQUEN;580056;NEUQUEN;3590
2018-02-01;58;NEUQUEN;580070;PLOTTIER;1290
2018-02-01;62;RIO NEGRO;620133;CIPOLLETTI;1898
2018-02-01;62;RIO NEGRO;620077;SAN CARLOS DE BARILOCHE;1507
2018-02-01;82;SANTA FE;820210;ROSARIO;1020
2018-02-01;94;TIERRA DEL FUEGO;940014;USHUAIA;2248
2018-03-01;06;BUENOS AIRES;060028;ALMIRANTE BROWN;5894
2018-03-01;06;BUENOS AIRES;060035;AVELLANEDA;5196
2018-03-01;06;BUENOS AIRES;060091;BERAZATEGUI;2890
2018-03-01;06;BUENOS AIRES;060126;CAMPANA;1473
2018-03-01;06;BUENOS AIRES;060134;CAÑUELAS;5055
2018-03-01;06;BUENOS AIRES;060245;ENSENADA;1170
2018-03-01;06;BUENOS AIRES;060260;ESTEBAN ECHEVERRIA;2471
2018-03-01;06;BUENOS AIRES;060270;EZEIZA;2321
2018-03-01;06;BUENOS AIRES;060329;GENERAL LAS HERAS;1168
2018-03-01;06;BUENOS AIRES;060357;GENERAL PUEYRREDON;5195
2018-03-01;06;BUENOS AIRES;060364;GENERAL RODRIGUEZ;2540
2018-03-01;06;BUENOS AIRES;060371;GENERAL SAN MARTIN;5285
2018-03-01;06;BUENOS AIRES;060410;ITUZAINGO;1989
2018-03-01;06;BUENOS AIRES;060412;JOSE C PAZ;3300
2018-03-01;06;BUENOS AIRES;060427;LA MATANZA;33399
2018-03-01;06;BUENOS AIRES;060441;LA PLATA;2770
2018-03-01;06;BUENOS AIRES;060434;LANUS;3631
2018-03-01;06;BUENOS AIRES;060490;LOMAS DE ZAMORA;5076
2018-03-01;06;BUENOS AIRES;060539;MERLO;10570
2018-03-01;06;BUENOS AIRES;060560;MORENO;10381
2018-03-01;06;BUENOS AIRES;060568;MORON;5830
2018-03-01;06;BUENOS AIRES;060602;CARMEN DE PATAGONES;797
2018-03-01;06;BUENOS AIRES;060638;PILAR;4294
2018-03-01;06;BUENOS AIRES;060658;QUILMES;9320
2018-03-01;06;BUENOS AIRES;060760;SAN MIGUEL;4772
2018-03-01;06;BUENOS AIRES;060805;TIGRE;5661
2018-03-01;06;BUENOS AIRES;060840;TRES DE FEBRERO;2964
2018-03-01;02;CABA;S/D;CABA;15740
2018-03-01;22;CHACO;220385;BARRANQUERAS;2047
2018-03-01;22;CHACO;220413;RESISTENCIA;6555
2018-03-01;30;ENTRE RIOS;300336;PARANA;2701
2018-03-01;38;JUJUY;380154;PALPALA;6121
2018-03-01;38;JUJUY;380035;SAN SALVADOR DE JUJUY;6164
2018-03-01;54;MISIONES;540308;GARUPA;812
2018-03-01;54;MISIONES;540119;POSADAS;5662
2018-03-01;58;NEUQUEN;580049;CUTRAL CO;371
2018-03-01;58;NEUQUEN;580112;JUNIN DE LOS ANDES;303
2018-03-01;58;NEUQUEN;580063;PLAZA HUINCUL;673
2018-03-01;58;NEUQUEN;580119;SAN MARTIN DE LOS ANDES;654
2018-03-01;58;NEUQUEN;580245;ZAPALA;795
2018-03-01;62;RIO NEGRO;620014;VIEDMA;3305
2018-03-01;62;RIO NEGRO;620182;VILLA REGINA;1061
2018-03-01;66;SALTA;660063;SALTA;10251
2018-03-01;82;SANTA FE;820294;ROLDAN;2969
2018-03-01;82;SANTA FE;820210;ROSARIO;2710
2018-03-01;94;TIERRA DEL FUEGO;940007;RIO GRANDE;2465
2018-03-01;94;TIERRA DEL FUEGO;942007;TOLHUIN;922
2018-04-01;06;BUENOS AIRES;060028;ALMIRANTE BROWN;4588
2018-04-01;06;BUENOS AIRES;060035;AVELLANEDA;3483
2018-04-01;06;BUENOS AIRES;060091;BERAZATEGUI;4316
2018-04-01;06;BUENOS AIRES;060252;ESCOBAR;1603
2018-04-01;06;BUENOS AIRES;060260;ESTEBAN ECHEVERRIA;2541
2018-04-01;06;BUENOS AIRES;060270;EZEIZA;3408
2018-04-01;06;BUENOS AIRES;060357;GENERAL PUEYRREDON;4531
